City,total_deals,total_amount
Warendorf,1,3500.0
Warszawa,4,12000.0
Weiden,1,11000.0
Weil am Rhein,2,22000.0
Weilburg,3,31000.0
Weilheim,1,11000.0
Weilheim in Oberbayern,2,22000.0
Weimar,2,13500.0
Weingarten,1,11000.0
Weinsberg,1,11000.0
Weinstadt,3,21000.0
Weinähr,1,11000.0
Weiterstadt,3,25500.0
Weißenburg in Bayern,1,11000.0
Weißwasser,2,13900.0
Wenden,1,4000.0
Wenzenbach,1,9000.0
Werder,1,9000.0
Werl,1,11000.0
Werlte,1,2000.0
Wermelskirchen,1,2000.0
Werne,1,11500.0
Wertheim,1,11000.0
Wesel,3,33000.0
Wetter,1,11000.0
Wetzlar,1,1000.0
Wiefelstede,1,5000.0
Wien,12,40400.0
Wiesbaden,3,33500.0
Wiesenttal,1,9000.0
Wilhelmshaven,1,11000.0
Willich,2,22000.0
Winhöring,1,11500.0
Wirges,1,11000.0
Wismar,1,3000.0
Witten,3,33000.0
Wittendörp,1,2500.0
Wittmund,1,3500.0
Wittstock,1,11000.0
Witzeeze,1,11000.0
Wolfenbüttel,2,22000.0
Wolfhagen,2,22000.0
Wolfsburg,7,65000.0
Wolnzach,1,4000.0
Worms,3,16000.0
Wuppertal,4,31000.0
Wächtersbach,3,19000.0
Wörthsee,1,5000.0
Wülfrath,1,11000.0
Würzburg,6,52000.0
Włodawa,1,4000.0
Zeitz,5,26900.0
Zella-Mehlis,1,11000.0
Zerbst,1,5000.0
Zetel,1,11000.0
Zinnowitz,1,4500.0
Zoetermeer,1,2500.0
Zorneding,1,11000.0
Zwickau,3,23500.0
Zwingenberg,1,11000.0
Öhringen,1,11000.0
Übelbach,1,4500.0
Śrem,1,4500.0
